id,name,updated_at,created_at,gender,type,national_team_id,main_team,senior_team,level
3a4a24d2-3bcb-4422-8217-7ce144b10c78,Border Bulldogs,13/04/2020 17:45,13/04/2020 17:45,M,club,bf41a52c-94f3-426a-b707-f2f11cb01de8,,,1
37d1e2c2-c6a0-4d48-b5e6-5ae4fc89e152,Border Reivers,05/05/2020 16:26,05/05/2020 16:26,M,club,cfe6acd2-6656-4c02-bfae-28bd6f368cfc,,,1
b8918a1a-70a6-4e4f-988e-19f13490848e,Boroughmuir,13/04/2020 17:45,13/04/2020 17:45,M,club,cfe6acd2-6656-4c02-bfae-28bd6f368cfc,,,1
8a67eb9b-970d-426b-83cc-67f59221eef7,Bosnia & Herzegovina,24/04/2020 17:30,24/04/2020 17:30,M,international,,,,1
9be399e8-3147-40f7-9faa-3fdd0af8a3b1,Bosnia & Herzegovina Women,05/05/2020 17:53,05/05/2020 17:53,F,international_women,8a67eb9b-970d-426b-83cc-67f59221eef7,Bosnia & Herzegovina,8a67eb9b-970d-426b-83cc-67f59221eef7,1
bb19921f-d2d9-486a-85ac-50453154687f,Botswana,24/04/2020 17:30,24/04/2020 17:30,M,international,,,,1
1a0454b1-219f-4cca-bb5f-808997dbee05,Botswana Women,05/05/2020 17:53,05/05/2020 17:53,F,international_women,bb19921f-d2d9-486a-85ac-50453154687f,Botswana,bb19921f-d2d9-486a-85ac-50453154687f,1
e29cec31-b76e-4771-a1ef-e17d231e5f51,Bourg en Bresse,29/04/2019 18:39,20/02/2019 14:18,M,club,7d3aef5a-7793-46ba-89b7-cbddf6fe12eb,,,1
dbd6a144-bfc2-4436-9f7e-2a411d184414,Bourgogne,05/05/2020 16:26,05/05/2020 16:26,M,club,7d3aef5a-7793-46ba-89b7-cbddf6fe12eb,,,1
50ecf1f3-1a0c-42b1-a1a8-10ed9548d3cf,Bourgoin,13/04/2020 17:45,13/04/2020 17:45,M,club,7d3aef5a-7793-46ba-89b7-cbddf6fe12eb,,,1
3c899135-9e29-4964-ab92-0c83fa172700,Bradford & Bingley,05/05/2020 16:26,05/05/2020 16:26,M,club,f9413c17-aeb0-4739-b9ba-b9bf52991c68,,,1
6318b78a-bdee-49e5-bcc1-7f333f181914,Brakpan,06/08/2020 14:33,06/08/2020 14:33,M,club,bf41a52c-94f3-426a-b707-f2f11cb01de8,,,1
1d81e169-ca77-4e37-8a45-2e4ce1c7b8d8,Bratislava,13/04/2020 17:45,13/04/2020 17:45,M,club,f5c70b87-ba49-4824-b2ca-d10dfaf1edb1,,,1
c101883b-5108-4a55-985e-4b84d2a3c02d,Brazil,29/04/2019 18:58,20/02/2019 14:18,M,international,,,,1
