id,name,updated_at,created_at,level,type,hemisphere,home_competition_group,competition_group,cross_border_comp,transfer_multiplier,key_competition_name
a1e3df01-e392-4106-8195-b2df324f16a9,World Rugby Under 21 Championship,05/05/2020 15:00,05/05/2020 15:00,3,U21s,na,international_u21s,World,FALSE,1,Interational Age Grade
d221ae1b-d25d-4747-a4eb-976c62016dee,Asia Pacific Women's Championship,27/04/2020 12:29,27/04/2020 12:29,1,Womens,northern,international_womens,Asia,FALSE,1,International Womens
e4399091-b61c-455f-8ff3-00779d2c1222,Oceania Rugby Women's Championship,27/04/2020 12:29,27/04/2020 12:29,1,Womens,southern,international_womens,Oceania,FALSE,1,International Womens
fb2339e7-0cba-44b4-90c5-3a5c1c33fb1d,Rugby Africa Women's Cup,27/04/2020 12:29,27/04/2020 12:29,1,Womens,na,international_womens,Africa,FALSE,1,International Womens
01c377c1-a5fa-45fb-b5a5-32cc4fd921cb,Rugby Europe Women's Championship,27/04/2020 12:29,27/04/2020 12:29,1,Mens,northern,international_womens,Europe,FALSE,1,International Womens
a0c18708-9710-40d9-8e34-457088f17534,Women's Asia Rugby Championship,27/04/2020 12:29,27/04/2020 12:29,1,Womens,northern,international_womens,Asia,FALSE,1,International Womens
807fc364-49d2-410a-b721-9ddbd64f2b3f,Women's Elgon Cup,27/04/2020 12:29,27/04/2020 12:29,1,Womens,na,international_womens,Africa,FALSE,1,International Womens
07fdf2bf-982c-492f-9672-0300b056d704,Women's International,27/04/2020 12:29,27/04/2020 12:29,1,Womens,na,international_womens,World,FALSE,1,International Womens
d039c742-eac1-4085-8c5e-c9997011cf70,Women's Nations Cup,27/04/2020 12:29,27/04/2020 12:29,1,Womens,northern,international_womens,World,FALSE,1,International Womens
4f7fe139-2628-45ec-b99f-bac565ace0d0,Women's Rugby Americas North Championship,27/04/2020 12:29,27/04/2020 12:29,1,Womens,northern,international_womens,Americas,FALSE,1,International Womens
2955a1be-c35a-482c-b64d-dea602010223,Women's Rugby Super Series,27/04/2020 12:29,27/04/2020 12:29,1,Womens,northern,international_womens,World,FALSE,1,International Womens
64dbec2c-a624-4c9c-93e3-684a5d7bba4b,Women's Rugby World Cup,20/02/2019 14:14,20/02/2019 14:14,1,Womens,na,international_womens,World,FALSE,1,International Womens
26e02bb4-89c9-47f9-bfc8-0368b31a62e9,Women's Rugby World Cup Qualifying,27/04/2020 12:29,27/04/2020 12:29,1,Womens,na,international_womens,World,FALSE,1,International Womens
162f34a0-6db2-4aad-9148-23b3c09e2b36,Women's Six Nations,20/02/2019 14:14,20/02/2019 14:14,1,Womens,northern,international_womens,Europe,FALSE,1,International Womens
995c3692-b080-11ea-94fa-001a7dda7115,Women's Tour Match,06/08/2020 14:33,06/08/2020 14:33,2,Womens,na,international_womens,World,FALSE,1,International Womens
3a4b25cf-630b-47f8-84e8-5db48f2232e3,World Rugby Pacific Four Series,18/10/2024 00:10,18/10/2024 00:09,1,Womens,northern,international_womens,Oceania,FALSE,1,International Womens
7e901bf2-005f-461b-8105-acabc014ff2c,Japan Top League,20/02/2019 14:14,20/02/2019 14:14,2,Mens,northern,Japan Top League,Japan,FALSE,1,Japan Top League
9dd8fc9f-e353-416a-98ca-d63f2b5ba0b9,Japan Top League Cup,28/06/2019 19:18,28/06/2019 19:18,2,Mens,northern,na,Japan,FALSE,1,Japan Top League
35f5e778-1144-44fa-a70f-03743c031bee,Mitre 10 Cup,20/02/2019 14:14,20/02/2019 14:14,3,Mens,southern,Mitre 10 Cup,New Zealand,FALSE,1,Mitre 10 Cup
c9c8bad7-245f-4ac8-8c66-8da63ab69bce,Canada CRC,13/04/2020 17:50,13/04/2020 17:50,3,Mens,northern,Canada CRC,Canada,FALSE,1,Other
283d2a95-fa56-4316-aa1e-15a087349166,Currie Cup U21s,08/06/2021 23:13,08/06/2021 23:13,5,U21s,southern,Currie Cup U21s,South Africa,FALSE,1,Other
4f99e929-7f27-449a-94d5-d82960254eec,Access Match,04/06/2019 12:19,04/06/2019 12:19,2,Mens,na,na,World,FALSE,1,Other
58b1c670-f16c-4814-87e5-ce4153b10046,Celtic Cup,13/04/2020 17:50,13/04/2020 17:50,2,Mens,northern,na,Europe,FALSE,1,Other
ddefeea0-f8bc-4295-93ee-e1113b694bee,Tour Match,24/07/2019 10:25,24/07/2019 10:25,2,Mens,na,na,World,FALSE,1,Other
cf86bf64-559f-46c2-b90d-8c921eff1f27,Premiership Cup,14/03/2019 11:14,14/03/2019 11:14,2.5,Mens,northern,na,England,FALSE,1,Other
fe676492-b162-11ea-ae03-001a7dda7115,Premiership Rugby Shield,06/08/2020 14:33,06/08/2020 14:33,2.5,Mens,northern,na,England,FALSE,1,Other
ab1869a8-65c7-4d21-ad3c-c997a8590e1b,Anglo Welsh Cup,20/02/2019 14:14,20/02/2019 14:14,3,Mens,northern,na,UK,TRUE,1,Other
66391758-050d-4f83-85c6-4ee941e496df,British & Irish Cup,20/02/2019 14:14,20/02/2019 14:14,3,Mens,northern,na,UK,FALSE,1,Other
0ad7b587-5c9c-4367-8fbe-38dae8ca4bcd,Club Friendly,13/04/2020 17:50,13/04/2020 17:50,3,Mens,na,na,World,FALSE,1,Other
2c01e092-06c7-4e56-ae33-9b6934014403,English Championship Cup,13/04/2020 17:50,13/04/2020 17:50,3,Mens,northern,na,England,FALSE,1,Other
c1bb604c-9350-40dd-aa14-4f9e92345a9d,France Rugby Cup,05/05/2020 15:00,05/05/2020 15:00,3,Mens,northern,na,France,FALSE,1,Other
5f70d297-7ecb-4cd1-9bea-73571dbcabaf,Trailfinders Challenge Cup,30/03/2021 12:37,30/03/2021 12:37,3,Mens,northern,na,England,FALSE,1,Other
72aceeca-2574-4d91-b690-243afb16161d,Wales Challenge Cup,13/04/2020 17:50,13/04/2020 17:50,3,Mens,northern,na,Wales,FALSE,1,Other
8fae9a07-e409-47a2-b980-9eb4e2835259,Continental Shield,13/04/2020 17:50,13/04/2020 17:50,4,Mens,northern,na,Europe,FALSE,1,Other
42b4493b-abf5-440b-8c1e-32d93ccb548b,Varsity Cup,13/04/2020 17:50,13/04/2020 17:50,4,Mens,northern,na,England,FALSE,1,Other
00000000-0000-0000-0000-000000000000,,31/08/2019 15:20,31/08/2019 15:20,na,na,na,na,,FALSE,1,Other
0494931c-b163-11ea-8832-001a7dda7115,Varsity Cup South Africa,06/08/2020 14:33,06/08/2020 14:33,5,Mens,southern,Varsity Cup South Africa,South Africa,FALSE,1,Other
61df7e56-1300-464e-84f1-54663d44f004,Super 20s,20/02/2019 14:14,20/02/2019 14:14,4,U20s,southern,Super 20s,Australia,FALSE,1,Other Age Grade
ae3d6158-8a63-4065-8b21-0a1fbc283e18,All Ireland League,13/04/2020 17:50,13/04/2020 17:50,3,Mens,northern,All Ireland League,Ireland,FALSE,1,Other Club League
f4b46636-b162-11ea-af86-001a7dda7115,All Ireland League Div 1B,06/08/2020 14:33,06/08/2020 14:33,4,Mens,northern,All Ireland League Div 1B,Ireland,FALSE,1,Other Club League
ae5fa888-62ec-4c1d-9c09-8858de559cdd,Argentinian National de Clubes,20/02/2019 14:14,20/02/2019 14:14,3,Mens,southern,Argentinian National de Clubes,South America,FALSE,1,Other Club League
52e02eb4-9fee-4fac-9cc9-8a093bfb2e96,Austria Premiership,13/04/2020 17:50,13/04/2020 17:50,3,Mens,northern,Austria Premiership,Austria,FALSE,1,Other Club League
f846c5fd-4b25-43dd-98f0-59975f148b17,Czech Rep Liga,13/04/2020 17:50,13/04/2020 17:50,3,Mens,northern,Czech Rep Liga,Czech Republic,FALSE,1,Other Club League
f58adc7b-8883-4ad7-a3ea-7e4b68cd3bc3,England RFU Championship,20/02/2019 14:14,20/02/2019 14:14,3,Mens,northern,England RFU Championship,England,FALSE,1,Other Club League
34832c47-d30e-40ca-b5c6-4065b8b01715,German Bundesliga,13/04/2020 17:50,13/04/2020 17:50,3,Mens,northern,German Bundesliga,Germany,FALSE,1,Other Club League
7df6de6a-e1a0-4b11-bffd-262c84b74789,Heartland Championship,20/02/2019 14:14,20/02/2019 14:14,4,Mens,southern,Heartland Championship,New Zealand,FALSE,1,Other Club League
d4f47c1f-2257-4dbc-8ff6-68666628f456,Italian National Championship,20/02/2019 14:14,20/02/2019 14:14,3,Mens,northern,Italian National Championship,Italy,FALSE,1,Other Club League
