event_id,prediction_probability,prediction_probability
9b678fa6-af1c-11ea-bd62-4865ee11b869,0.9659648,0.9659648
9b7b312e-af1c-11ea-b2fd-4865ee11b869,0.8985756,0.8985756
9b9952ec-af1c-11ea-a8f3-4865ee11b869,0.96508014,0.96508014
9ba35e34-af1c-11ea-bf3f-4865ee11b869,0.1744871,0.1744871
9bad1b98-af1c-11ea-ad37-4865ee11b869,0.43802053,0.43802053
9bd485cc-af1c-11ea-81c3-4865ee11b869,0.11621971,0.11621971
9bcaa174-af1c-11ea-ae64-4865ee11b869,0.96450156,0.96450156
9be8276e-af1c-11ea-8dbf-4865ee11b869,0.9689226,0.9689226
9c059a0c-af1c-11ea-98d8-4865ee11b869,0.54392886,0.54392886
9c2d23b0-af1c-11ea-8ffe-4865ee11b869,0.097400256,0.097400256
9bfbb5d8-af1c-11ea-8f24-4865ee11b869,0.9300289,0.9300289
9c1943ee-af1c-11ea-9bc6-4865ee11b869,0.9641437,0.9641437
9c36e106-af1c-11ea-96f7-4865ee11b869,0.9651431,0.9651431
9c40ec34-af1c-11ea-a5ed-4865ee11b869,0.2806807,0.2806807
9c4ad090-af1c-11ea-8c94-4865ee11b869,0.108544245,0.108544245
6a774150-af1c-11ea-851b-4865ee11b869,0.9677019,0.9677019
6ac4902e-af1c-11ea-a040-4865ee11b869,0.9668233,0.9668233
6ae4ac64-af1c-11ea-8a0d-4865ee11b869,0.09756172,0.09756172
6aab9af6-af1c-11ea-b9f8-4865ee11b869,0.8951927,0.8951927
6aa3ff1c-af1c-11ea-a001-4865ee11b869,0.9642235,0.9642235
6ad48acc-af1c-11ea-85ef-4865ee11b869,0.10321448,0.10321448
6aec9636-af1c-11ea-9b2e-4865ee11b869,0.96689826,0.96689826
6ab3d2ca-af1c-11ea-9cc1-4865ee11b869,0.9680388,0.9680388
6af4f4ee-af1c-11ea-bdab-4865ee11b869,0.12984568,0.12984568
6afce0da-af1c-11ea-9727-4865ee11b869,0.19326867,0.19326867
6b0d0270-af1c-11ea-a1f4-4865ee11b869,0.22775781,0.22775781
6b0518a4-af1c-11ea-b616-4865ee11b869,0.11952007,0.11952007
6b14c542-af1c-11ea-9a5c-4865ee11b869,0.10485079,0.10485079
6b2d45c2-af1c-11ea-8a6b-4865ee11b869,0.13991201,0.13991201
6b59274a-af1c-11ea-952b-4865ee11b869,0.11226151,0.11226151
